hora,km_to_CO,start station id,cantidad_de_viajes,distancia_recorrida_sum,duracion_del_viaje,date_local,contaminante_co
09,1.3245,364,1,3.0851,617,2019-01-02,0.193
16,1.3245,364,1,1.4935,471,2019-01-02,0.354
19,1.3245,364,1,0.7017,196,2019-01-02,0.293
09,1.3245,364,2,8.3074,1668,2019-01-03,0.381
11,1.3245,364,2,1.5788,432,2019-01-03,0.263
12,1.3245,364,1,1.4935,340,2019-01-03,0.22899999999999998
20,1.3245,364,1,3.5937,673,2019-01-03,0.307
08,1.3245,364,2,5.5104,1519,2019-01-04,0.304
14,1.3245,364,1,0.861,201,2019-01-04,0.248
11,1.3245,364,1,0.861,222,2019-01-05,0.392
11,1.3245,364,4,1.1396,365,2019-01-06,0.19899999999999998
18,1.3245,364,2,2.9145000000000003,656,2019-01-06,0.147
08,1.3245,364,1,3.3152,791,2019-01-08,0.314
09,1.3245,364,1,5.2223,1331,2019-01-08,0.27899999999999997
22,1.3245,364,1,0.7017,184,2019-01-08,0.452
10,1.3245,364,1,1.6061,370,2019-01-09,0.272
15,1.3245,364,2,3.4842999999999997,1016,2019-01-09,0.248
08,1.3245,364,2,5.2223,1956,2019-01-10,0.21100000000000002
09,1.3245,364,2,4.6912,995,2019-01-10,0.179
19,1.3245,364,1,2.5057,1060,2019-01-10,0.177
07,1.3245,364,3,3.7755,1433,2019-01-11,0.19899999999999998
08,1.3245,364,2,5.2336,1444,2019-01-11,0.196
08,1.3245,364,3,7.6894,1756,2019-01-14,0.324
11,1.3245,364,1,2.1002,596,2019-01-14,0.222
14,1.3245,364,1,4.239,1672,2019-01-14,0.256
15,1.3245,364,1,0.7693,272,2019-01-14,0.284
15,1.3245,364,1,1.3084,284,2019-01-15,0.18
08,1.3245,364,3,7.7394,1775,2019-01-16,0.375
09,1.3245,364,3,6.8268,1560,2019-01-16,0.319
10,1.3245,364,1,0.7017,164,2019-01-16,0.275
18,1.3245,364,1,2.1211,591,2019-01-16,0.355
07,1.3245,364,3,7.036099999999999,1844,2019-01-17,0.205
08,1.3245,364,2,3.7481999999999998,1183,2019-01-17,0.209
13,1.3245,364,3,8.1336,6449,2019-01-17,0.24
11,1.3245,364,1,2.1002,431,2019-01-18,0.253
15,1.3245,364,1,1.4211,358,2019-01-18,0.261
15,1.3245,364,1,1.5643,3292,2019-01-19,0.235
08,1.3245,364,3,10.586299999999998,2508,2019-01-25,0.27899999999999997
10,1.3245,364,2,5.5651,4124,2019-01-25,0.225
11,1.3245,364,1,2.1839,1647,2019-01-25,0.22699999999999998
12,1.3245,364,1,0.861,191,2019-01-25,0.228
13,1.3245,364,2,0.0,907,2019-01-26,0.198
17,1.3245,364,1,1.5224,757,2019-01-26,0.371
12,1.3245,364,1,0.0,527,2019-01-27,0.17800000000000002
13,1.3245,364,3,6.0399,1772,2019-01-27,0.17800000000000002
08,1.3245,364,1,1.6061,381,2019-01-28,0.207
09,1.3245,364,1,3.1430000000000002,787,2019-01-28,0.20199999999999999
22,1.3245,364,1,3.3619,758,2019-01-28,0.251
09,1.3245,364,2,4.7491,1129,2019-01-29,0.28
10,1.3245,364,1,1.6061,496,2019-01-29,0.29100000000000004
12,1.3245,364,1,2.48,669,2019-01-29,0.23199999999999998
15,1.3245,364,1,1.4935,730,2019-01-29,0.214
17,1.3245,364,2,7.7634,2720,2019-01-29,0.266
08,1.3245,364,2,8.1675,1899,2019-01-30,0.278
11,1.3245,364,1,3.0851,595,2019-01-30,0.231
09,1.3245,364,1,1.6061,337,2019-01-31,0.237
08,1.3245,364,1,3.6275,903,2019-02-01,0.273
14,1.3245,364,3,5.392900000000001,1492,2019-02-02,0.223
17,1.3245,364,1,2.6683,565,2019-02-03,0.43799999999999994
22,1.3245,364,11,18.6475,49019,2019-02-03,0.348
09,1.3245,364,1,5.2223,1373,2019-02-04,0.379
13,1.3245,364,1,2.0519,698,2019-02-04,0.321
