,hour,startstationid,trips,tripdistance,tripduration,starttime,o3
0,0,3131,4,4.0282,663,2019-01-03 00:00:00,0.014
1,0,3135,1,0.8481,130,2019-01-26 00:00:00,0.027000000000000003
2,0,3137,5,13.6826,3465,2019-01-01 00:00:00,0.0148
3,0,3139,1,0.5601,187,2019-01-27 00:00:00,0.013000000000000001
4,0,3140,8,16.5086,7130,2019-01-01 00:00:00,0.017625000000000002
5,0,3141,9,20.1779,5302,2019-01-01 00:00:00,0.014777777777777782
6,0,3143,10,25.695,16766,2019-01-02 00:00:00,0.0161
7,0,3144,1,0.9109,156,2019-01-27 00:00:00,0.013000000000000001
8,0,3145,2,2.34,642,2019-01-16 00:00:00,0.0065
9,0,3146,9,16.4155,3982,2019-01-02 00:00:00,0.02466666666666667
10,0,3147,8,10.307899999999998,2448,2019-01-06 00:00:00,0.022375
11,0,3148,8,8.0887,1750,2019-01-02 00:00:00,0.023
12,0,3150,5,4.4869,4381,2019-01-07 00:00:00,0.020800000000000003
13,0,3151,4,7.2533,2670,2019-01-11 00:00:00,0.01475
14,0,3152,2,8.507,1702,2019-01-06 00:00:00,0.034
15,0,3154,1,1.0203,262,2019-01-26 00:00:00,0.027000000000000003
16,0,3156,8,21.0984,6103,2019-01-07 00:00:00,0.02525
17,0,3158,11,26.168100000000006,8717,2019-01-06 00:00:00,0.021181818181818184
18,0,3159,17,32.9255,8884,2019-01-01 00:00:00,0.020235294117647063
19,0,3160,4,7.9936,3003,2019-01-01 00:00:00,0.01725
20,0,3161,6,16.0273,5234,2019-01-10 00:00:00,0.012666666666666666
21,0,3162,3,5.6777,1204,2019-01-06 00:00:00,0.025
22,0,3163,13,32.2349,11166,2019-01-01 00:00:00,0.01807692307692308
23,0,3164,25,34.80540000000001,15402,2019-01-01 00:00:00,0.018960000000000008
24,0,3165,17,32.091899999999995,55810,2019-01-01 00:00:00,0.020823529411764716
25,0,3166,2,2.6844,837,2019-01-09 00:00:00,0.013500000000000002
26,0,3167,13,22.781900000000004,5989,2019-01-03 00:00:00,0.017692307692307698
27,0,3168,9,18.8648,4278,2019-01-04 00:00:00,0.024111111111111114
28,0,3169,2,10.303,2639,2019-01-11 00:00:00,0.0225
29,0,3170,11,33.1524,8197,2019-01-01 00:00:00,0.023
30,0,3171,11,16.932000000000002,9430,2019-01-01 00:00:00,0.015818181818181818
31,0,3172,6,9.677,4373,2019-01-06 00:00:00,0.02766666666666667
32,0,3175,19,13.429900000000005,14950,2019-01-03 00:00:00,0.01994736842105264
33,0,3177,9,14.1785,4823,2019-01-06 00:00:00,0.01611111111111111
34,0,3178,1,2.6152,755,2019-01-10 00:00:00,0.021
35,0,3226,2,8.1127,1557,2019-01-24 00:00:00,0.004
36,0,3231,1,2.2016,537,2019-01-01 00:00:00,0.011000000000000001
37,0,3282,2,7.4706,2222,2019-01-13 00:00:00,0.021
38,0,3283,6,8.6809,2166,2019-01-10 00:00:00,0.010333333333333332
39,0,3284,5,17.5758,3955,2019-01-06 00:00:00,0.027
40,0,3285,3,4.6252,5870,2019-01-01 00:00:00,0.016
41,0,3286,3,2.5524,493,2019-01-01 00:00:00,0.01633333333333334
42,0,3288,10,21.8629,6320,2019-01-02 00:00:00,0.018000000000000002
43,0,3289,3,6.0479,1423,2019-01-13 00:00:00,0.017
44,0,3290,1,0.9286,610,2019-01-15 00:00:00,0.013000000000000001
45,0,3292,2,8.4812,2050,2019-01-20 00:00:00,0.022000000000000002
46,0,3293,7,6.532199999999999,2218,2019-01-06 00:00:00,0.016
